iteration,yes x none,,,,no x none,,,
iteration,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative
447,158541,0,                       0,158539,158539,0,                       0,158541
448,158540,0,                       0,158540,158540,0,                       0,158540
449,158539,0,                       0,158541,158541,0,                       0,158539
450,158538,0,                       0,158542,158542,0,                       0,158538
451,158539,0,                       0,158541,158541,0,                       0,158539
452,158540,0,                       0,158540,158540,0,                       0,158540
453,158541,0,                       0,158539,158539,0,                       0,158541
454,158540,0,                       0,158540,158540,0,                       0,158540
455,158539,0,                       0,158541,158541,0,                       0,158539
456,158540,0,                       0,158540,158540,0,                       0,158540
457,158541,0,                       0,158539,158539,0,                       0,158541
458,158542,0,                       0,158538,158538,0,                       0,158542
459,158541,0,                       0,158539,158539,0,                       0,158541
460,158542,0,                       0,158538,158538,0,                       0,158542
461,158541,0,                       0,158539,158539,0,                       0,158541
462,158540,0,                       0,158540,158540,0,                       0,158540
463,158541,0,                       0,158539,158539,0,                       0,158541
464,158540,0,                       0,158540,158540,0,                       0,158540
465,158541,0,                       0,158539,158539,0,                       0,158541
466,158540,0,                       0,158540,158540,0,                       0,158540
467,158539,0,                       0,158541,158541,0,                       0,158539
468,158540,0,                       0,158540,158540,0,                       0,158540
469,158539,0,                       0,158541,158541,0,                       0,158539
470,158538,0,                       0,158542,158542,0,                       0,158538
471,158539,0,                       0,158541,158541,0,                       0,158539
472,158540,0,                       0,158540,158540,0,                       0,158540
473,158539,0,                       0,158541,158541,0,                       0,158539
474,158540,0,                       0,158540,158540,0,                       0,158540
475,158541,0,                       0,158539,158539,0,                       0,158541
476,158540,0,                       0,158540,158540,0,                       0,158540
477,158541,0,                       0,158539,158539,0,                       0,158541
478,158540,0,                       0,158540,158540,0,                       0,158540
479,158541,0,                       0,158539,158539,0,                       0,158541
480,158540,0,                       0,158540,158540,0,                       0,158540
481,158539,0,                       0,158541,158541,0,                       0,158539
482,158540,0,                       0,158540,158540,0,                       0,158540
483,158541,0,                       0,158539,158539,0,                       0,158541
484,158540,0,                       0,158540,158540,0,                       0,158540
485,158539,0,                       0,158541,158541,0,                       0,158539
486,158540,0,                       0,158540,158540,0,                       0,158540
487,158541,0,                       0,158539,158539,0,                       0,158541
488,158540,0,                       0,158540,158540,0,                       0,158540
489,158539,0,                       0,158541,158541,0,                       0,158539
490,158538,0,                       0,158542,158542,0,                       0,158538
491,158539,0,                       0,158541,158541,0,                       0,158539
492,158538,0,                       0,158542,158542,0,                       0,158538
493,158537,0,                       0,158543,158543,0,                       0,158537
494,158538,0,                       0,158542,158542,0,                       0,158538
495,158539,0,                       0,158541,158541,0,                       0,158539
496,158540,0,                       0,158540,158540,0,                       0,158540
497,158539,0,                       0,158541,158541,0,                       0,158539
498,158540,0,                       0,158540,158540,0,                       0,158540
499,158539,0,                       0,158541,158541,0,                       0,158539
500,158540,0,                       0,158540,158540,0,                       0,158540
501,158539,0,                       0,158541,158541,0,                       0,158539
502,158540,0,                       0,158540,158540,0,                       0,158540
503,158541,0,                       0,158539,158539,0,                       0,158541
504,158542,0,                       0,158538,158538,0,                       0,158542
505,158541,0,                       0,158539,158539,0,                       0,158541
506,158542,0,                       0,158538,158538,0,                       0,158542
507,158543,0,                       0,158537,158537,0,                       0,158543
508,158544,0,                       0,158536,158536,0,                       0,158544
509,158543,0,                       0,158537,158537,0,                       0,158543
510,158542,0,                       0,158538,158538,0,                       0,158542
511,158541,0,                       0,158539,158539,0,                       0,158541
512,158540,0,                       0,158540,158540,0,                       0,158540
513,158539,0,                       0,158541,158541,0,                       0,158539
514,158538,0,                       0,158542,158542,0,                       0,158538
515,158539,0,                       0,158541,158541,0,                       0,158539
516,158540,0,                       0,158540,158540,0,                       0,158540
517,158541,0,                       0,158539,158539,0,                       0,158541
518,158540,0,                       0,158540,158540,0,                       0,158540
519,158539,0,                       0,158541,158541,0,                       0,158539
520,158540,0,                       0,158540,158540,0,                       0,158540
521,158541,0,                       0,158539,158539,0,                       0,158541
522,158542,0,                       0,158538,158538,0,                       0,158542
523,158541,0,                       0,158539,158539,0,                       0,158541
524,158540,0,                       0,158540,158540,0,                       0,158540
525,158541,0,                       0,158539,158539,0,                       0,158541
