iteration,yes x none,,,,no x none,,,
iteration,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative
531,500,0,                       0,500,500,0,                       0,500
532,501,0,                       0,499,499,0,                       0,501
533,500,0,                       0,500,500,0,                       0,500
534,501,0,                       0,499,499,0,                       0,501
535,500,0,                       0,500,500,0,                       0,500
536,501,0,                       0,499,499,0,                       0,501
537,500,0,                       0,500,500,0,                       0,500
538,499,0,                       0,501,501,0,                       0,499
539,498,0,                       0,502,502,0,                       0,498
540,499,0,                       0,501,501,0,                       0,499
541,500,0,                       0,500,500,0,                       0,500
542,501,0,                       0,499,499,0,                       0,501
543,500,0,                       0,500,500,0,                       0,500
544,499,0,                       0,501,501,0,                       0,499
545,500,0,                       0,500,500,0,                       0,500
546,501,0,                       0,499,499,0,                       0,501
547,500,0,                       0,500,500,0,                       0,500
548,501,0,                       0,499,499,0,                       0,501
549,500,0,                       0,500,500,0,                       0,500
550,499,0,                       0,501,501,0,                       0,499
551,500,0,                       0,500,500,0,                       0,500
552,499,0,                       0,501,501,0,                       0,499
553,500,0,                       0,500,500,0,                       0,500
554,501,0,                       0,499,499,0,                       0,501
555,502,0,                       0,498,498,0,                       0,502
556,501,0,                       0,499,499,0,                       0,501
557,500,0,                       0,500,500,0,                       0,500
558,501,0,                       0,499,499,0,                       0,501
559,500,0,                       0,500,500,0,                       0,500
560,501,0,                       0,499,499,0,                       0,501
561,500,0,                       0,500,500,0,                       0,500
562,499,0,                       0,501,501,0,                       0,499
563,500,0,                       0,500,500,0,                       0,500
564,499,0,                       0,501,501,0,                       0,499
565,500,0,                       0,500,500,0,                       0,500
566,499,0,                       0,501,501,0,                       0,499
567,500,0,                       0,500,500,0,                       0,500
568,501,0,                       0,499,499,0,                       0,501
569,502,0,                       0,498,498,0,                       0,502
570,501,0,                       0,499,499,0,                       0,501
571,500,0,                       0,500,500,0,                       0,500
572,499,0,                       0,501,501,0,                       0,499
573,498,0,                       0,502,502,0,                       0,498
574,499,0,                       0,501,501,0,                       0,499
575,500,0,                       0,500,500,0,                       0,500
576,499,0,                       0,501,501,0,                       0,499
577,498,0,                       0,502,502,0,                       0,498
578,499,0,                       0,501,501,0,                       0,499
579,498,0,                       0,502,502,0,                       0,498
580,499,0,                       0,501,501,0,                       0,499
581,500,0,                       0,500,500,0,                       0,500
582,501,0,                       0,499,499,0,                       0,501
583,502,0,                       0,498,498,0,                       0,502
584,501,0,                       0,499,499,0,                       0,501
585,500,0,                       0,500,500,0,                       0,500
586,501,0,                       0,499,499,0,                       0,501
587,500,0,                       0,500,500,0,                       0,500
588,499,0,                       0,501,501,0,                       0,499
589,498,0,                       0,502,502,0,                       0,498
590,499,0,                       0,501,501,0,                       0,499
591,500,0,                       0,500,500,0,                       0,500
592,499,0,                       0,501,501,0,                       0,499
593,500,0,                       0,500,500,0,                       0,500
594,499,0,                       0,501,501,0,                       0,499
595,500,0,                       0,500,500,0,                       0,500
596,501,0,                       0,499,499,0,                       0,501
597,500,0,                       0,500,500,0,                       0,500
598,499,0,                       0,501,501,0,                       0,499
599,500,0,                       0,500,500,0,                       0,500
600,499,0,                       0,501,501,0,                       0,499
601,500,0,                       0,500,500,0,                       0,500
602,499,0,                       0,501,501,0,                       0,499
603,500,0,                       0,500,500,0,                       0,500
604,501,0,                       0,499,499,0,                       0,501
605,500,0,                       0,500,500,0,                       0,500
606,501,0,                       0,499,499,0,                       0,501
607,500,0,                       0,500,500,0,                       0,500
608,499,0,                       0,501,501,0,                       0,499
609,500,0,                       0,500,500,0,                       0,500
610,499,0,                       0,501,501,0,                       0,499
611,500,0,                       0,500,500,0,                       0,500
612,499,0,                       0,501,501,0,                       0,499
613,500,0,                       0,500,500,0,                       0,500
614,501,0,                       0,499,499,0,                       0,501
615,500,0,                       0,500,500,0,                       0,500
616,501,0,                       0,499,499,0,                       0,501
617,500,0,                       0,500,500,0,                       0,500
618,499,0,                       0,501,501,0,                       0,499
619,500,0,                       0,500,500,0,                       0,500
620,499,0,                       0,501,501,0,                       0,499
621,500,0,                       0,500,500,0,                       0,500
