iteration,node moved,to group,instantaneous gain,            accumulated gain,potential,abs gain %,yes verts,no verts,yes edges,            no edges,verts %,edges %,potential propor %,consults,performance %
211,521,yes,2.95,1657.95,-228376.00,+0.00%,501,499,4266,4381,50.10%,                49.34%,50.23%,3,66.67%
212,970,no,0.05,1658.00,-228375.95,+0.00%,500,500,4249,4400,50.00%,                49.13%,50.03%,10,20.00%
213,106,no,3.15,1661.15,-228372.80,+0.00%,501,499,4262,4388,50.10%,                49.27%,50.24%,2,100.00%
214,982,yes,5.85,1667.00,-228366.95,+0.00%,502,498,4286,4370,50.20%,                49.51%,50.44%,3,66.67%
215,249,no,0.15,1667.15,-228366.80,+0.00%,501,499,4271,4388,50.10%,                49.32%,50.23%,3,66.67%
216,979,yes,7.85,1675.00,-228358.95,+0.00%,502,498,4289,4373,50.20%,                49.52%,50.44%,2,100.00%
217,680,yes,1.95,1676.95,-228357.00,+0.00%,501,499,4267,4400,50.10%,                49.23%,50.24%,11,18.18%
218,146,yes,0.05,1677.00,-228356.95,+0.00%,500,500,4251,4417,50.00%,                49.04%,50.04%,3,66.67%
219,613,yes,1.15,1678.15,-228355.80,+0.00%,499,501,4236,4433,49.90%,                48.86%,49.84%,3,66.67%
220,156,yes,4.25,1682.40,-228351.55,+0.00%,498,502,4224,4449,49.80%,                48.70%,49.63%,3,66.67%
221,187,no,12.75,1695.15,-228338.80,+0.01%,497,503,4216,4466,49.70%,                48.56%,49.43%,4,50.00%
222,719,yes,0.25,1695.40,-228338.55,+0.00%,498,502,4240,4450,49.80%,                48.79%,49.63%,6,33.33%
223,334,no,0.75,1696.15,-228337.80,+0.00%,497,503,4233,4462,49.70%,                48.68%,49.43%,6,33.33%
224,116,no,1.85,1698.00,-228335.95,+0.00%,498,502,4245,4446,49.80%,                48.84%,49.63%,8,25.00%
225,823,no,3.95,1701.95,-228332.00,+0.00%,499,501,4256,4434,49.90%,                48.98%,49.83%,3,66.67%
